date,base,quote,rate
2024-12-02,USD,LKR,290.55
2024-12-03,USD,LKR,290.39
2024-12-04,USD,LKR,290.08
2024-12-05,USD,LKR,290.02
2024-12-06,USD,LKR,289.37
2024-12-09,USD,LKR,290.27
2024-12-10,USD,LKR,290.23
2024-12-11,USD,LKR,290.12
2024-12-12,USD,LKR,290.07
2024-12-13,USD,LKR,290.08
2024-12-16,USD,LKR,290.48
2024-12-17,USD,LKR,290.4
2024-12-18,USD,LKR,290.83
2024-12-19,USD,LKR,292.04
2024-12-20,USD,LKR,292.91
2024-12-23,USD,LKR,294.25
2024-12-24,USD,LKR,296.2
2024-12-26,USD,LKR,296.17
2024-12-27,USD,LKR,293.19
2024-12-30,USD,LKR,292.35
2024-12-31,USD,LKR,292.78
2025-01-01,USD,LKR,292.83
2025-01-02,USD,LKR,293.1
2025-01-03,USD,LKR,293.84
2025-01-06,USD,LKR,293.73
2025-01-07,USD,LKR,294.14
2025-01-08,USD,LKR,294.85
2025-01-09,USD,LKR,294.98
2025-01-10,USD,LKR,294.58
2025-01-13,USD,LKR,294.62
2025-01-14,USD,LKR,294.07
2025-01-15,USD,LKR,294.29
2025-01-16,USD,LKR,295.1
2025-01-17,USD,LKR,295.53
2025-01-20,USD,LKR,295.61
2025-01-21,USD,LKR,296.22
2025-01-22,USD,LKR,296.85
2025-01-23,USD,LKR,297.06
2025-01-24,USD,LKR,296.73
2025-01-27,USD,LKR,297.07
2025-01-28,USD,LKR,296.54
2025-01-29,USD,LKR,296.1
2025-01-30,USD,LKR,296.24
2025-01-31,USD,LKR,297.09
2025-02-03,USD,LKR,298.17
2025-02-04,USD,LKR,297.51
2025-02-05,USD,LKR,297.68
2025-02-06,USD,LKR,299.25
2025-02-07,USD,LKR,298.41
2025-02-10,USD,LKR,298.26
2025-02-11,USD,LKR,296.42
2025-02-12,USD,LKR,296.44
2025-02-13,USD,LKR,295.8
2025-02-14,USD,LKR,296.38
2025-02-17,USD,LKR,294.47
2025-02-18,USD,LKR,294.64
2025-02-19,USD,LKR,295.76
2025-02-20,USD,LKR,295.91
2025-02-21,USD,LKR,295.51
2025-02-24,USD,LKR,295.29
2025-02-25,USD,LKR,295.36
2025-02-26,USD,LKR,295.38
2025-02-27,USD,LKR,295.21
2025-02-28,USD,LKR,295.97
2025-03-03,USD,LKR,295.6
2025-03-04,USD,LKR,295.55
2025-03-05,USD,LKR,294.26
2025-03-06,USD,LKR,294.94
2025-03-07,USD,LKR,294.69
2025-03-10,USD,LKR,295.31
2025-03-11,USD,LKR,294.99
2025-03-12,USD,LKR,295.35
2025-03-13,USD,LKR,295.66
2025-03-14,USD,LKR,295.63
2025-03-17,USD,LKR,295.97
2025-03-18,USD,LKR,295.55
2025-03-19,USD,LKR,295.86
2025-03-20,USD,LKR,296.19
2025-03-21,USD,LKR,296.79
2025-03-24,USD,LKR,296.47
2025-03-25,USD,LKR,296.41
2025-03-26,USD,LKR,296.13
2025-03-27,USD,LKR,296.42
2025-03-28,USD,LKR,296.2
2025-03-31,USD,LKR,295.9
2025-04-01,USD,LKR,296.2
2025-04-02,USD,LKR,295.93
2025-04-03,USD,LKR,295.65
2025-04-04,USD,LKR,296.25
2025-04-07,USD,LKR,297.17
2025-04-08,USD,LKR,298.1
2025-04-09,USD,LKR,299.69
2025-04-10,USD,LKR,298.34
2025-04-11,USD,LKR,296.75
2025-04-14,USD,LKR,297.87
2025-04-15,USD,LKR,297.76
2025-04-16,USD,LKR,298.11
2025-04-17,USD,LKR,298.29
2025-04-18,USD,LKR,298.23
2025-04-21,USD,LKR,298.64
2025-04-22,USD,LKR,298.76
2025-04-23,USD,LKR,298.98
2025-04-24,USD,LKR,299.52
2025-04-25,USD,LKR,299.18
2025-04-28,USD,LKR,299.37
2025-04-29,USD,LKR,299.3
2025-04-30,USD,LKR,299.22
2025-05-01,USD,LKR,299.22
2025-05-02,USD,LKR,299.35
2025-05-05,USD,LKR,299.39
2025-05-06,USD,LKR,299.24
2025-05-07,USD,LKR,299.28
2025-05-08,USD,LKR,299.26
2025-05-09,USD,LKR,298.79
2025-05-12,USD,LKR,298.92
2025-05-13,USD,LKR,298.86
2025-05-14,USD,LKR,298.48
2025-05-15,USD,LKR,298.31
2025-05-16,USD,LKR,298.36
2025-05-19,USD,LKR,299.13
2025-05-20,USD,LKR,298.91
2025-05-21,USD,LKR,299.6
2025-05-22,USD,LKR,299.17
2025-05-23,USD,LKR,299.04
2025-05-26,USD,LKR,298.88
2025-05-27,USD,LKR,299.24
2025-05-28,USD,LKR,299.37
2025-05-29,USD,LKR,299.43
2025-05-30,USD,LKR,299.03
2025-06-02,USD,LKR,298.8
2025-06-03,USD,LKR,298.98
2025-06-04,USD,LKR,298.96
2025-06-05,USD,LKR,299.16
2025-06-06,USD,LKR,299.19
2025-06-09,USD,LKR,298.9
2025-06-10,USD,LKR,298.82
2025-06-11,USD,LKR,298.65
2025-06-12,USD,LKR,298.37
2025-06-13,USD,LKR,298.59
2025-06-16,USD,LKR,299.65
2025-06-17,USD,LKR,299.9
2025-06-18,USD,LKR,300.27
2025-06-19,USD,LKR,300.31
2025-06-20,USD,LKR,300.27
2025-06-23,USD,LKR,300.13
2025-06-24,USD,LKR,300.25
2025-06-25,USD,LKR,299.82
2025-06-26,USD,LKR,299.5
2025-06-27,USD,LKR,299.04
2025-06-30,USD,LKR,299.7
2025-07-01,USD,LKR,299.39
2025-07-02,USD,LKR,299.55
2025-07-03,USD,LKR,299.72
2025-07-04,USD,LKR,299.83
2025-07-07,USD,LKR,299.97
2025-07-08,USD,LKR,300.19
2025-07-09,USD,LKR,300.13
2025-07-10,USD,LKR,300.36
2025-07-11,USD,LKR,300.3
2025-07-14,USD,LKR,300.42
2025-07-15,USD,LKR,300.89
2025-07-16,USD,LKR,300.49
2025-07-17,USD,LKR,301.08
2025-07-18,USD,LKR,301.12
2025-07-21,USD,LKR,300.95
2025-07-22,USD,LKR,300.88
2025-07-23,USD,LKR,301.35
2025-07-24,USD,LKR,301.45
2025-07-25,USD,LKR,301.42
2025-07-28,USD,LKR,301.35
2025-07-29,USD,LKR,301.43
2025-07-30,USD,LKR,301.68
2025-07-31,USD,LKR,302.15
2025-08-01,USD,LKR,302.4
2025-08-04,USD,LKR,300.94
2025-08-05,USD,LKR,300.44
2025-08-06,USD,LKR,300.55
2025-08-07,USD,LKR,299.7
2025-08-08,USD,LKR,299.89
2025-08-11,USD,LKR,300.38
2025-08-12,USD,LKR,300.07
2025-08-13,USD,LKR,300.45
2025-08-14,USD,LKR,301.09
2025-08-15,USD,LKR,301.17
2025-08-18,USD,LKR,300.62
2025-08-19,USD,LKR,300.57
2025-08-20,USD,LKR,301.14
2025-08-21,USD,LKR,301.33
2025-08-22,USD,LKR,301.74
2025-08-25,USD,LKR,301.71
2025-08-26,USD,LKR,301.45
2025-08-27,USD,LKR,302.0
2025-08-28,USD,LKR,301.47
2025-08-29,USD,LKR,301.78
2025-09-01,USD,LKR,301.3
2025-09-02,USD,LKR,301.3
2025-09-03,USD,LKR,301.46
2025-09-04,USD,LKR,301.56
2025-09-05,USD,LKR,301.31
2025-09-08,USD,LKR,301.12
2025-09-09,USD,LKR,301.18
2025-09-10,USD,LKR,301.54
