date,rainfall_mm,temp_mean_c,temp_max_c,temp_min_c,usd_lkr_rate,tourist_arrivals
2024-11-25,92.78,26.437142857142856,28.321428571428573,24.884285714285713,290.748,42189
2024-12-02,57.51,26.21142857142857,27.618571428571425,25.085714285714285,290.71000000000004,46016
2024-12-09,12.22,26.580000000000002,29.314285714285713,24.06714285714286,290.02599999999995,39715
2024-12-16,72.75999999999999,26.29,28.638571428571428,24.34142857142857,290.196,52246
2024-12-23,22.58,26.50857142857143,28.49142857142857,24.974285714285713,292.086,67127
2024-12-30,8.76,26.39428571428571,29.314285714285717,23.694285714285716,294.4775,69320
2025-01-06,26.89,25.669999999999998,28.868571428571432,23.271428571428572,293.256,54084
2025-01-13,34.949999999999996,26.005714285714284,28.995714285714286,23.65285714285714,294.634,57245
2025-01-20,57.68,25.38714285714286,27.759999999999998,23.54,294.91999999999996,57545
2025-01-27,20.900000000000002,25.27857142857143,28.36285714285714,22.897142857142857,296.786,59335
2025-02-03,31.939999999999998,25.68857142857143,28.818571428571428,22.881428571428575,296.82800000000003,59326
2025-02-10,0.68,25.312857142857144,29.462857142857143,21.599999999999998,298.22200000000004,60806
2025-02-17,0.22,25.84714285714286,30.154285714285713,21.862857142857145,295.902,62157
2025-02-24,0.48,26.46142857142857,30.715714285714284,22.584285714285716,295.422,61705
2025-03-03,137.67,26.997142857142855,30.06,24.665714285714284,295.504,51609
2025-03-10,6.55,26.694285714285716,30.321428571428573,23.20285714285714,294.95,53659
2025-03-17,87.4,27.148571428571426,29.784285714285716,24.60571428571429,295.52000000000004,51396
2025-03-24,31.41,27.88,31.155714285714286,24.912857142857142,296.172,50091
2025-03-31,37.910000000000004,27.672857142857143,30.38714285714286,25.101428571428574,296.212,49923
2025-04-07,121.98,27.335714285714285,29.425714285714285,25.61428571428571,296.24,44908
2025-04-14,49.01,27.391428571428573,29.002857142857145,26.171428571428574,298.15,44156
2025-04-21,26.29,27.565714285714286,29.372857142857146,26.101428571428574,298.206,40085
2025-04-28,77.85,27.217142857142857,29.017142857142858,25.815714285714286,299.162,35964
2025-05-05,57.86,27.454285714285714,29.434285714285714,25.81714285714286,299.296,34263
2025-05-12,41.86,27.604285714285712,29.457142857142856,26.08285714285714,299.098,31434
2025-05-19,60.8,27.755714285714284,29.52857142857143,26.31714285714286,298.62800000000004,28290
2025-05-26,58.4,27.54,29.139999999999997,26.117142857142856,299.12,28488
2025-06-02,76.51,27.298571428571428,28.607142857142858,26.162857142857142,299.174,27589
2025-06-09,7.58,27.235714285714288,28.931428571428572,25.939999999999998,299.038,32343
2025-06-16,83.48,26.775714285714287,28.255714285714287,25.635714285714283,298.816,27541
2025-06-23,17.85,26.714285714285715,28.312857142857144,25.525714285714287,300.176,31035
2025-06-30,16.81,26.78142857142857,28.44142857142857,25.444285714285716,299.662,39672
2025-07-07,3.16,26.87,28.424285714285713,25.617142857142856,299.692,42233
2025-07-14,3.06,26.83285714285714,28.294285714285714,25.795714285714286,300.28000000000003,44262
2025-07-21,36.67,26.08142857142857,27.654285714285713,24.947142857142858,300.906,46469
2025-07-28,30.34,25.832857142857144,27.504285714285714,24.56142857142857,301.29,47683
2025-08-04,36.07,25.897142857142857,27.75142857142857,24.711428571428574,301.71999999999997,52370
2025-08-11,8.36,25.814285714285713,27.517142857142858,24.58857142857143,300.192,51314
2025-08-18,22.23,26.08857142857143,27.712857142857143,24.978571428571428,300.68,50972
2025-08-25,2.61,26.361428571428572,28.5,24.814285714285713,301.298,35714
2025-09-01,14.9,26.595714285714283,28.55,25.237142857142857,301.6,32740
2025-09-08,6.53,26.525714285714287,28.584285714285716,24.995714285714286,301.35,37153
2025-09-15,29.06,26.697142857142858,28.71142857142857,25.3,301.336,37956
2025-09-22,64.6,26.551428571428573,28.22714285714286,25.291428571428572,301.598,36051
2025-09-29,75.21,26.592857142857145,28.31714285714286,25.335714285714285,302.04200000000003,37194
2025-10-06,39.0,26.67142857142857,28.505714285714284,25.291428571428572,301.916,39384
2025-10-13,49.96,26.69142857142857,28.852857142857143,25.03142857142857,302.21999999999997,33070
2025-10-20,294.6,26.18285714285714,27.837142857142858,24.939999999999998,302.078,36373
2025-10-27,134.67,26.11285714285714,27.482857142857142,25.004285714285714,302.71999999999997,38969
2025-11-03,5.85,26.877142857142854,29.052857142857142,25.225714285714282,303.956,43526
2025-11-10,39.4,26.34,28.271428571428572,24.784285714285716,304.66400000000004,48392
2025-11-17,93.74000000000001,26.358571428571427,28.675714285714285,24.444285714285716,304.42600000000004,48298
2025-11-24,183.11,26.101428571428574,28.127142857142854,24.457142857142856,308.13199999999995,53668
2025-12-01,309.82,25.124285714285715,26.392857142857142,24.05,308.01,48086
2025-12-08,45.67,26.142857142857142,28.874285714285715,23.744285714285716,308.834,43893
2025-12-15,35.96,25.474285714285713,28.295714285714286,23.157142857142855,309.308,50114
2025-12-22,47.06,25.31,28.54,22.745714285714286,309.946,64910
2025-12-29,8.02,25.021428571428572,28.448571428571427,22.05,310.02,76140
